Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Moisture,Standard Deviation Moisture,Min Moisture,Max Moisture,Residual Moisture,Leverage Moisture,Ref Moisture,TW,Ref TW,Oil0%,Standard Deviation Oil0%,Min Oil0%,Max Oil0%,Residual Oil0%,Leverage Oil0%,Ref Oil0%
11/22/2024 1:48:03 PM,Rapeseed I,60073681 RA,Normal,CE153_GP_2024_SC_Gr,,Infratec,91915904,5.85,0.552,4.512,6.476,0,0,,,,48,0.684,47.212,49.558,0,0,
11/22/2024 1:50:10 PM,Rapeseed I,60073681 RA,Normal,CE162_GP_2024_SC_Gr,,Infratec,91915904,4.92,0.16,4.633,5.229,0,0,,,,49.94,0.685,48.196,50.638,0,0,
11/22/2024 1:52:23 PM,Rapeseed I,60073681 RA,Normal,CE109_GP_2024_SC_Gr,,Infratec,91915904,5.17,0.27,4.504,5.538,0,0,,,,51.31,0.29,50.854,51.812,0,0,
11/22/2024 1:55:05 PM,Rapeseed I,60073681 RA,Normal,CE192_GP_2024_SC_Gr,,Infratec,91915904,5.08,0.14,4.924,5.337,0,0,,,,45.47,0.614,44.606,46.844,0,0,
11/22/2024 1:56:58 PM,Rapeseed I,60073681 RA,Normal,CE138_GP_2024_SC_Gr,,Infratec,91915904,5.08,0.128,4.867,5.248,0,0,,,,45.88,0.883,44.235,47.594,0,0,
11/22/2024 1:58:50 PM,Rapeseed I,60073681 RA,Normal,CE181_GP_2024_SC_Gr,,Infratec,91915904,5.61,0.217,5.12,5.908,0,0,,,,47.12,1.118,45.772,49.178,0,0,
11/22/2024 2:00:42 PM,Rapeseed I,60073681 RA,Normal,CE182_GP_2024_SC_Gr,,Infratec,91915904,5.09,0.142,4.851,5.413,0,0,,,,43.32,0.603,42.35,44.084,0,0,
11/22/2024 2:02:38 PM,Rapeseed I,60073681 RA,Normal,CE185_GP_2024_SC_Gr,,Infratec,91915904,5.48,0.191,5.209,5.889,0,0,,,,43.81,0.345,43.192,44.262,0,0,
11/22/2024 2:05:04 PM,Rapeseed I,60073681 RA,Normal,CE123_GP_2024_SC_Res,,Infratec,91915904,5.69,0.243,5.339,6.113,0,0,,,,46.51,0.518,45.659,47.362,0,0,
11/22/2024 2:07:05 PM,Rapeseed I,60073681 RA,Normal,CE178_GP_2024_SC_Gr,,Infratec,91915904,6.05,0.223,5.722,6.542,0,0,,,,47.84,0.4,47.17,48.727,0,0,
11/22/2024 2:09:02 PM,Rapeseed I,60073681 RA,Normal,CE149_GP_2024_SC_Gr,,Infratec,91915904,5.78,0.476,4.956,6.541,0,0,,,,45.95,0.948,44.331,47.22,0,0,
11/22/2024 2:10:57 PM,Rapeseed I,60073681 RA,Normal,CE193_GP_2024_SC_Gr,,Infratec,91915904,5.29,0.192,5.022,5.624,0,0,,,,43.19,0.422,42.27,43.704,0,0,
11/22/2024 2:12:59 PM,Rapeseed I,60073681 RA,Normal,CE132_GP_2024_SC_Gr,,Infratec,91915904,5.28,0.196,5.094,5.628,0,0,,,,48.68,0.933,46.473,49.773,0,0,
