Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture,Starch0%,Leverage Starch0%,Residual Starch0%,Gluten0%,Leverage Gluten0%,Residual Gluten0%,Zeleny0%,Leverage Zeleny0%,Residual Zeleny0%,TW
11/6/2023 3:32:00 PM,Wheat II,60073697 WH,Normal,8B_4_Lime_N_2023_SW_Gr,,Infratec,91915904,10.55,0.00,0.00,11.41,0.00,0.00,73.12,0.00,0.00,27.16,0.00,0.00,36.62,0.00,0.00,62.12
11/6/2023 3:34:33 PM,Wheat II,60073697 WH,Normal,8B_3_Lime_N_2023_SW_Gr,,Infratec,91915904,9.07,0.00,0.00,11.63,0.00,0.00,74.05,0.00,0.00,23.59,0.00,0.00,28.28,0.00,0.00,61.92
11/6/2023 3:37:10 PM,Wheat II,60073697 WH,Normal,8B_2_Lime_O_2023_SW_Gr,,Infratec,91915904,9.30,0.00,0.00,11.05,0.00,0.00,74.04,0.00,0.00,23.48,0.00,0.00,30.89,0.00,0.00,61.72
11/6/2023 3:39:31 PM,Wheat II,60073697 WH,Normal,8B_2_Lime_N_2023_SW_Gr,,Infratec,91915904,9.68,0.00,0.00,11.10,0.00,0.00,73.68,0.00,0.00,25.16,0.00,0.00,32.40,0.00,0.00,61.80
11/6/2023 3:48:59 PM,Wheat II,60073697 WH,Normal,9B_3_Lime_O_2023_SW_Gr,,Infratec,91915904,10.55,0.00,0.00,10.91,0.00,0.00,72.61,0.00,0.00,27.50,0.00,0.00,36.64,0.00,0.00,61.29
11/6/2023 3:50:48 PM,Wheat II,60073697 WH,Normal,9B_4_Lime_O_2023_SW_Gr,,Infratec,91915904,10.45,0.00,0.00,10.98,0.00,0.00,72.95,0.00,0.00,26.85,0.00,0.00,36.95,0.00,0.00,61.22
11/6/2023 3:52:49 PM,Wheat II,60073697 WH,Normal,9B_1_Lime_O_2023_SW_Gr,,Infratec,91915904,10.84,0.00,0.00,11.22,0.00,0.00,72.35,0.00,0.00,28.07,0.00,0.00,38.49,0.00,0.00,61.40
11/6/2023 3:54:58 PM,Wheat II,60073697 WH,Normal,9B_2_Lime_O_2023_SW_Gr,,Infratec,91915904,11.23,0.00,0.00,11.11,0.00,0.00,71.98,0.00,0.00,29.60,0.00,0.00,40.76,0.00,0.00,61.73
11/6/2023 3:57:24 PM,Wheat II,60073697 WH,Normal,9B_4_Lime_N_2023_SW_Gr,,Infratec,91915904,11.16,0.00,0.00,11.03,0.00,0.00,72.00,0.00,0.00,29.34,0.00,0.00,40.96,0.00,0.00,60.66
11/6/2023 3:59:48 PM,Wheat II,60073697 WH,Normal,9B_2_Lime_N_2023_SW_Gr,,Infratec,91915904,11.09,0.00,0.00,11.00,0.00,0.00,72.15,0.00,0.00,29.42,0.00,0.00,39.65,0.00,0.00,60.63
11/6/2023 4:02:12 PM,Wheat II,60073697 WH,Normal,9B_3_Lime_N_2023_SW_Gr,,Infratec,91915904,10.98,0.00,0.00,11.39,0.00,0.00,71.93,0.00,0.00,29.03,0.00,0.00,39.49,0.00,0.00,60.97
11/6/2023 4:05:02 PM,Wheat II,60073697 WH,Normal,9B_1_Lime_N_2023_SW_Gr,,Infratec,91915904,10.17,0.00,0.00,11.36,0.00,0.00,72.32,0.00,0.00,26.77,0.00,0.00,35.38,0.00,0.00,60.43
11/6/2023 4:18:15 PM,Wheat II,60073697 WH,Normal,2A_2_Lime_O_2023_WW_Gr,,Infratec,91915904,12.64,0.00,0.00,11.39,0.00,0.00,70.79,0.00,0.00,30.42,0.00,0.00,44.99,0.00,0.00,63.43
11/6/2023 4:20:05 PM,Wheat II,60073697 WH,Normal,2A_1_Lime_O_2023_WW_Gr,,Infratec,91915904,12.09,0.00,0.00,11.15,0.00,0.00,70.68,0.00,0.00,29.57,0.00,0.00,42.03,0.00,0.00,62.47
11/6/2023 4:22:23 PM,Wheat II,60073697 WH,Normal,2A_4_Lime_O_2023_WW_Gr,,Infratec,91915904,12.52,0.00,0.00,11.20,0.00,0.00,70.76,0.00,0.00,30.04,0.00,0.00,43.85,0.00,0.00,63.83
11/6/2023 4:24:30 PM,Wheat II,60073697 WH,Normal,2A_3_Lime_O_2023_WW_Gr,,Infratec,91915904,13.14,0.00,0.00,11.52,0.00,0.00,70.19,0.00,0.00,31.60,0.00,0.00,48.97,0.00,0.00,63.68
11/6/2023 4:30:08 PM,Wheat II,60073697 WH,Normal,2A_3_Lime_N_2023_WW_Gr,,Infratec,91915904,14.10,0.00,0.00,11.32,0.00,0.00,68.48,0.00,0.00,33.64,0.00,0.00,57.18,0.00,0.00,63.80
11/6/2023 4:31:52 PM,Wheat II,60073697 WH,Normal,2A_2_Lime_N_2023_WW_Gr,,Infratec,91915904,12.48,0.00,0.00,11.27,0.00,0.00,70.49,0.00,0.00,30.45,0.00,0.00,43.14,0.00,0.00,62.97
11/6/2023 4:34:05 PM,Wheat II,60073697 WH,Normal,2A_1_Lime_N_2023_WW_Gr,,Infratec,91915904,11.58,0.00,0.00,11.53,0.00,0.00,71.62,0.00,0.00,27.83,0.00,0.00,40.47,0.00,0.00,62.96
